"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"1:03:23.1050813 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.1051587 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.1209273 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.1209534 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.2002616 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.2002854 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.3567838 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.3568100 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.4491196 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.4491451 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.4841101 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
"1:03:23.4841331 PM","svchost.exe","5196","RegCreateKey","HKLM\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\CRLs","ACCESS DENIED","Desired Access: Read/Write, Delete"
